DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,culture_type
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,Female,ATCC,CVCL_0465,2201.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60.0,SIDM00105,,ovary,ovary_adenocarcinoma,high_grade_serous,,Adherent
ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,Female,ATCC,CVCL_0002,55.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35.0,SIDM00829,,blood,AML,M3,,Suspension
ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,Male,DSMZ,CVCL_0001,783.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30.0,SIDM00594,,blood,AML,M6,,Suspension
ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,Male,DSMZ,CVCL_1426,2167.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64.0,SIDM01023,,blood,AML,M5,,Adherent
ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,,907795.0,Male,ATCC,CVCL_1386,569.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63.0,SIDM00677,,colorectal,colorectal_adenocarcinoma,,,Adherent
ACH-000008,A101D,A101D,A101D_SKIN,,910921.0,Male,ATCC,CVCL_1057,1806.0,skin,,Skin Cancer,Melanoma,56.0,SIDM00801,,skin,melanoma,,,
ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,Male,ATCC,CVCL_1096,2104.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72.0,SIDM01233,,colorectal,colorectal_adenocarcinoma,,,Adherent
ACH-000012,HCC827,HCC827,HCC827_LUNG,,1240146.0,Female,ATCC,CVCL_2063,354.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39.0,SIDM01067,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,Male,ATCC,CVCL_1479,1237.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44.0,SIDM00748,,lung,NSCLC,NSCLC_large_cell,,Mixed adherent and suspension
ACH-000018,T24,T24,T24_URINARY_TRACT,,724812.0,Female,ATCC,CVCL_0554,1455.0,urinary_tract,Primary,Bladder Cancer,Carcinoma,81.0,SIDM01184,,urinary_tract,bladder_carcinoma,,,Adherent
