,genes
0,A1BG
1,A1CF
2,A2M
3,A2ML1
4,A4GALT
5,A4GNT
6,AAAS
7,AACS
8,AADAC
9,AADACL2
10,AADAT
11,AAGAB
12,AAK1
13,AAMP
14,AANAT
15,AARS2
16,AASDH
17,AASDHPPT
18,AASS
19,AATK
20,ABAT
21,ABCA1
22,ABCA12
23,ABCA13
24,ABCA2
25,ABCA3
26,ABCA4
27,ABCA5
28,ABCA6
29,ABCA7
30,ABCA8
31,ABCA9
32,ABCB1
33,ABCB10
34,ABCB11
35,ABCB4
36,ABCB5
37,ABCB7
38,ABCB8
39,ABCB9
40,ABCC1
41,ABCC10
42,ABCC11
43,ABCC12
44,ABCC2
45,ABCC3
46,ABCC4
47,ABCC5
48,ABCC6
49,ABCC8
50,ABCC9
51,ABCD1
52,ABCD2
53,ABCD3
54,ABCD4
55,ABCE1
56,ABCF1
57,ABCF2
58,ABCG1
59,ABCG2
60,ABCG4
61,ABCG5
62,ABCG8
63,ABHD1
64,ABHD10
65,ABHD11
66,ABHD12
67,ABHD12B
68,ABHD13
69,ABHD15
70,ABHD16B
71,ABHD2
72,ABHD3
73,ABHD4
74,ABHD5
75,ABHD6
76,ABHD8
77,ABI1
78,ABI3
79,ABI3BP
80,ABL1
81,ABL2
82,ABLIM1
83,ABLIM3
84,ABR
85,ABRA
86,ABT1
87,ABTB1
88,ABTB2
89,ACAA1
90,ACACB
91,ACAD10
92,ACAD8
93,ACAD9
94,ACADL
95,ACADM
96,ACADS
97,ACADSB
98,ACADVL
99,ACAP1
100,ACAP2
101,ACAP3
102,ACAT1
103,ACAT2
104,ACBD3
105,ACBD5
106,ACCS
107,ACD
108,ACE
109,ACE2
110,ACER1
111,ACER3
112,ACHE
113,ACIN1
114,ACLY
115,ACMSD
116,ACO1
117,ACO2
118,ACOT11
119,ACOT12
120,ACOT13
121,ACOT4
122,ACOT6
123,ACOT7
124,ACOT8
125,ACOT9
126,ACOX1
127,ACOX2
128,ACOX3
129,ACP1
130,ACP2
131,ACP5
132,ACP6
133,ACRBP
134,ACRV1
135,ACSBG1
136,ACSBG2
137,ACSF2
138,ACSF3
139,ACSL1
140,ACSL3
141,ACSL4
142,ACSL5
143,ACSL6
144,ACSM1
145,ACSM2A
146,ACSM3
147,ACSM5
148,ACSS1
149,ACSS2
150,ACSS3
151,ACTA1
152,ACTA2
153,ACTB
154,ACTC1
155,ACTG1
156,ACTL6A
157,ACTL6B
158,ACTL7A
159,ACTL7B
160,ACTL8
161,ACTL9
162,ACTN1
163,ACTN2
164,ACTN4
165,ACTR10
166,ACTR1A
167,ACTR1B
168,ACTR2
169,ACTR3
170,ACTR3B
171,ACTR3C
172,ACTR5
173,ACTR6
174,ACTR8
175,ACTRT2
176,ACVR1
177,ACVR1C
178,ACVR2A
179,ACVR2B
180,ACVRL1
181,ACY3
182,ACYP1
183,ACYP2
184,ADA
185,ADAD1
186,ADAD2
187,ADAM10
188,ADAM11
189,ADAM12
190,ADAM15
191,ADAM17
192,ADAM18
193,ADAM19
194,ADAM2
195,ADAM21
196,ADAM22
197,ADAM23
198,ADAM28
199,ADAM29
200,ADAM30
201,ADAM32
202,ADAM33
203,ADAM7
204,ADAM8
205,ADAM9
206,ADAMDEC1
207,ADAMTS1
208,ADAMTS10
209,ADAMTS12
210,ADAMTS13
211,ADAMTS14
212,ADAMTS15
213,ADAMTS16
214,ADAMTS17
215,ADAMTS18
216,ADAMTS19
217,ADAMTS2
218,ADAMTS20
219,ADAMTS3
220,ADAMTS4
221,ADAMTS5
222,ADAMTS6
223,ADAMTS7
224,ADAMTS8
225,ADAMTS9
226,ADAMTSL1
227,ADAMTSL2
228,ADAMTSL3
229,ADAMTSL4
230,ADAMTSL5
231,ADAP1
232,ADAP2
233,ADAR
234,ADARB1
235,ADARB2
236,ADAT1
